card_id,name,set_name
sv03.5-063,Abra,151
sv03.5-142,Aerodactyl,151
sv03.5-065,Alakazam ex,151
sv03.5-188,Alakazam ex,151
sv03.5-201,Alakazam ex,151
sv03.5-152,Antique Dome Fossil,151
sv03.5-153,Antique Helix Fossil,151
sv03.5-154,Antique Old Amber,151
sv03.5-024,Arbok ex,151
sv03.5-185,Arbok ex,151
sv03.5-059,Arcanine,151
sv03.5-144,Articuno,151
sv03.5-207,Basic Psychic Energy,151
sv03.5-015,Beedrill,151
sv03.5-069,Bellsprout,151
sv03.5-155,Big Air Balloon,151
sv03.5-156,Bill's Transfer,151
sv03.5-194,Bill's Transfer,151
sv03.5-009,Blastoise ex,151
sv03.5-184,Blastoise ex,151
sv03.5-200,Blastoise ex,151
sv03.5-001,Bulbasaur,151
sv03.5-166,Bulbasaur,151
sv03.5-012,Butterfree,151
sv03.5-010,Caterpie,151
sv03.5-172,Caterpie,151
sv03.5-113,Chansey,151
sv03.5-006,Charizard ex,151
sv03.5-183,Charizard ex,151
sv03.5-199,Charizard ex,151
sv03.5-004,Charmander,151
sv03.5-168,Charmander,151
sv03.5-005,Charmeleon,151
sv03.5-169,Charmeleon,151
sv03.5-036,Clefable,151
sv03.5-035,Clefairy,151
sv03.5-091,Cloyster,151
sv03.5-104,Cubone,151
sv03.5-157,Cycling Road,151
sv03.5-158,Daisy's Help,151
sv03.5-195,Daisy's Help,151
sv03.5-087,Dewgong,151
sv03.5-050,Diglett,151
sv03.5-132,Ditto,151
sv03.5-085,Dodrio,151
sv03.5-084,Doduo,151
sv03.5-148,Dragonair,151
sv03.5-181,Dragonair,151
sv03.5-149,Dragonite,151
sv03.5-147,Dratini,151
sv03.5-096,Drowzee,151
sv03.5-051,Dugtrio,151
sv03.5-133,Eevee,151
sv03.5-023,Ekans,151
sv03.5-125,Electabuzz,151
sv03.5-101,Electrode,151
sv03.5-159,Energy Sticker,151
sv03.5-160,Erika's Invitation,151
sv03.5-196,Erika's Invitation,151
sv03.5-203,Erika's Invitation,151
sv03.5-102,Exeggcute,151
sv03.5-103,Exeggutor,151
sv03.5-083,Farfetch'd,151
sv03.5-022,Fearow,151
sv03.5-136,Flareon,151
sv03.5-092,Gastly,151
sv03.5-094,Gengar,151
sv03.5-074,Geodude,151
sv03.5-161,Giovanni's Charisma,151
sv03.5-197,Giovanni's Charisma,151
sv03.5-204,Giovanni's Charisma,151
sv03.5-044,Gloom,151
sv03.5-042,Golbat,151
sv03.5-118,Goldeen,151
sv03.5-055,Golduck,151
sv03.5-076,Golem ex,151
sv03.5-189,Golem ex,151
sv03.5-162,Grabber,151
sv03.5-075,Graveler,151
sv03.5-088,Grimer,151
sv03.5-058,Growlithe,151
sv03.5-130,Gyarados,151
sv03.5-093,Haunter,151
sv03.5-107,Hitmonchan,151
sv03.5-106,Hitmonlee,151
