card_id,name,set_name
ecard2-96,Nidoran♂,Aquapolis
pl4-94,Arceus LV. X,Arceus
pl4-95,Arceus LV. X,Arceus
pl4-96,Arceus LV. X,Arceus
pl4-97,Gengar LV. X,Arceus
pl4-98,Salamence LV. X,Arceus
pl4-99,Tangrowth LV. X,Arceus
base1-73,Impostor Professor Oak,Base Set
base1-55,Nidoran♂,Base Set
base4-102,Impostor Professor Oak,Base Set 2
base4-82,Nidoran♀,Base Set 2
base4-83,Nidoran♂,Base Set 2
bog-9,Rocket’s Hitmonchan,Best of game
bog-8,Rocket’s Mewtwo,Best of game
bog-4,Rocket’s Scizor,Best of game
bog-5,Rocket’s Sneasel,Best of game
bw7-101,Black Kyurem-EX,Boundaries Crossed
bw7-145,Black Kyurem-EX,Boundaries Crossed
bw7-141,Celebi-EX,Boundaries Crossed
bw7-9,Celebi-EX,Boundaries Crossed
bw7-143,Cresselia-EX,Boundaries Crossed
bw7-67,Cresselia-EX,Boundaries Crossed
bw7-107,Farfetch’d,Boundaries Crossed
bw7-142,Keldeo-EX,Boundaries Crossed
bw7-49,Keldeo-EX,Boundaries Crossed
bw7-144,Landorus-EX,Boundaries Crossed
bw7-89,Landorus-EX,Boundaries Crossed
bw7-103,White Kyurem-EX,Boundaries Crossed
bw7-146,White Kyurem-EX,Boundaries Crossed
sm3-122,Rotom Dex—Poké Finder Mode,Burning Shadows
bwp-BW48,Altaria,BW Black Star Promos
bwp-BW67,Ampharos,BW Black Star Promos
bwp-BW10,Axew,BW Black Star Promos
bwp-BW16,Axew,BW Black Star Promos
bwp-BW26,Axew,BW Black Star Promos
bwp-BW39,Battle City,BW Black Star Promos
bwp-BW58,Black Kyurem,BW Black Star Promos
bwp-BW62,Black Kyurem-EX,BW Black Star Promos
bwp-BW95,Champions Festival,BW Black Star Promos
bwp-BW72,Cobalion,BW Black Star Promos
bwp-BW51,Crobat,BW Black Star Promos
bwp-BW73,Darkrai,BW Black Star Promos
bwp-BW46,Darkrai-EX,BW Black Star Promos
bwp-BW18,Darumaka,BW Black Star Promos
bwp-BW82,Deoxys-EX,BW Black Star Promos
bwp-BW64,Drifblim,BW Black Star Promos
bwp-BW80,Druddigon,BW Black Star Promos
bwp-BW17,Ducklett,BW Black Star Promos
bwp-BW94,Eevee,BW Black Star Promos
bwp-BW97,Eevee,BW Black Star Promos
bwp-BW76,Electrode,BW Black Star Promos
bwp-BW55,Elgyem,BW Black Star Promos
bwp-BW21,Emboar,BW Black Star Promos
bwp-BW56,Empoleon,BW Black Star Promos
bwp-BW92,Espeon,BW Black Star Promos
bwp-BW88,Flareon,BW Black Star Promos
bwp-BW53,Flygon,BW Black Star Promos
bwp-BW101,Genesect,BW Black Star Promos
bwp-BW86,Genesect,BW Black Star Promos
bwp-BW99,Genesect,BW Black Star Promos
bwp-BW74,Giratina,BW Black Star Promos
bwp-BW90,Glaceon,BW Black Star Promos
bwp-BW57,Haxorus,BW Black Star Promos
bwp-BW65,Jigglypuff,BW Black Star Promos
bwp-BW91,Jolteon,BW Black Star Promos
bwp-BW60,Keldeo,BW Black Star Promos
bwp-BW61,Keldeo-EX,BW Black Star Promos
bwp-BW44,Kyurem,BW Black Star Promos
bwp-BW37,Kyurem-EX,BW Black Star Promos
bwp-BW43,Landorus,BW Black Star Promos
bwp-BW79,Landorus,BW Black Star Promos
bwp-BW87,Leafeon,BW Black Star Promos
bwp-BW49,Lilligant,BW Black Star Promos
bwp-BW52,Lillipup,BW Black Star Promos
bwp-BW27,Litwick,BW Black Star Promos
bwp-BW85,Lucario,BW Black Star Promos
bwp-BW83,Lugia-EX,BW Black Star Promos
bwp-BW34,Luxio,BW Black Star Promos
bwp-BW68,Meloetta,BW Black Star Promos
